t_recv,source,key,reason,detail,status
2026-09-08 09:59:31.147357+00:00,dse_ownership,TB20Y0128,parse_error,no shareholding block on the company page for 'TB20Y0128',
2026-09-08 09:59:31.811462+00:00,dse_ownership,TB20Y0129,parse_error,no shareholding block on the company page for 'TB20Y0129',
2026-09-08 09:59:32.413614+00:00,dse_ownership,TB20Y0131,parse_error,no shareholding block on the company page for 'TB20Y0131',
2026-09-08 09:59:33.060277+00:00,dse_ownership,TB20Y0132,parse_error,no shareholding block on the company page for 'TB20Y0132',
2026-09-08 09:59:33.741752+00:00,dse_ownership,TB20Y0133,parse_error,no shareholding block on the company page for 'TB20Y0133',
2026-09-08 09:59:34.368353+00:00,dse_ownership,TB20Y0134,parse_error,no shareholding block on the company page for 'TB20Y0134',
2026-09-08 09:59:34.901749+00:00,dse_ownership,TB20Y0143,parse_error,no shareholding block on the company page for 'TB20Y0143',
2026-09-08 09:59:35.607540+00:00,dse_ownership,TB20Y0228,parse_error,no shareholding block on the company page for 'TB20Y0228',
2026-09-08 09:59:36.258264+00:00,dse_ownership,TB20Y0229,parse_error,no shareholding block on the company page for 'TB20Y0229',
2026-09-08 09:59:36.846535+00:00,dse_ownership,TB20Y0230,parse_error,no shareholding block on the company page for 'TB20Y0230',
2026-09-08 09:59:37.445561+00:00,dse_ownership,TB20Y0231,parse_error,no shareholding block on the company page for 'TB20Y0231',
2026-09-08 09:59:38.156644+00:00,dse_ownership,TB20Y0232,parse_error,no shareholding block on the company page for 'TB20Y0232',
2026-09-08 09:59:38.703017+00:00,dse_ownership,TB20Y0233,parse_error,no shareholding block on the company page for 'TB20Y0233',
2026-09-08 09:59:39.223342+00:00,dse_ownership,TB20Y0234,parse_error,no shareholding block on the company page for 'TB20Y0234',
2026-09-08 09:59:39.856687+00:00,dse_ownership,TB20Y0328,parse_error,no shareholding block on the company page for 'TB20Y0328',
2026-09-08 09:59:40.422231+00:00,dse_ownership,TB20Y0329,parse_error,no shareholding block on the company page for 'TB20Y0329',
2026-09-08 09:59:40.982139+00:00,dse_ownership,TB20Y0330,parse_error,no shareholding block on the company page for 'TB20Y0330',
2026-09-08 09:59:41.585706+00:00,dse_ownership,TB20Y0331,parse_error,no shareholding block on the company page for 'TB20Y0331',
2026-09-08 09:59:42.155988+00:00,dse_ownership,TB20Y0332,parse_error,no shareholding block on the company page for 'TB20Y0332',
2026-09-08 09:59:42.708715+00:00,dse_ownership,TB20Y0333,parse_error,no shareholding block on the company page for 'TB20Y0333',
2026-09-08 09:59:43.246996+00:00,dse_ownership,TB20Y0334,parse_error,no shareholding block on the company page for 'TB20Y0334',
2026-09-08 09:59:43.857449+00:00,dse_ownership,TB20Y0342,parse_error,no shareholding block on the company page for 'TB20Y0342',
2026-09-08 09:59:44.436808+00:00,dse_ownership,TB20Y0428,parse_error,no shareholding block on the company page for 'TB20Y0428',
2026-09-08 09:59:45.258414+00:00,dse_ownership,TB20Y0429,parse_error,no shareholding block on the company page for 'TB20Y0429',
2026-09-08 09:59:45.893593+00:00,dse_ownership,TB20Y0430,parse_error,no shareholding block on the company page for 'TB20Y0430',
2026-09-08 09:59:46.505388+00:00,dse_ownership,TB20Y0431,parse_error,no shareholding block on the company page for 'TB20Y0431',
2026-09-08 09:59:47.065316+00:00,dse_ownership,TB20Y0432,parse_error,no shareholding block on the company page for 'TB20Y0432',
2026-09-08 09:59:47.689974+00:00,dse_ownership,TB20Y0433,parse_error,no shareholding block on the company page for 'TB20Y0433',
2026-09-08 09:59:48.264601+00:00,dse_ownership,TB20Y0434,parse_error,no shareholding block on the company page for 'TB20Y0434',
2026-09-08 09:59:48.844117+00:00,dse_ownership,TB20Y0436,parse_error,no shareholding block on the company page for 'TB20Y0436',
2026-09-08 09:59:49.566076+00:00,dse_ownership,TB20Y0528,parse_error,no shareholding block on the company page for 'TB20Y0528',
2026-09-08 09:59:50.131731+00:00,dse_ownership,TB20Y0529,parse_error,no shareholding block on the company page for 'TB20Y0529',
2026-09-08 09:59:50.731589+00:00,dse_ownership,TB20Y0530,parse_error,no shareholding block on the company page for 'TB20Y0530',
2026-09-08 09:59:51.277029+00:00,dse_ownership,TB20Y0531,parse_error,no shareholding block on the company page for 'TB20Y0531',
2026-09-08 09:59:51.891790+00:00,dse_ownership,TB20Y0532,parse_error,no shareholding block on the company page for 'TB20Y0532',
2026-09-08 09:59:52.439110+00:00,dse_ownership,TB20Y0533,parse_error,no shareholding block on the company page for 'TB20Y0533',
2026-09-08 09:59:53.025967+00:00,dse_ownership,TB20Y0534,parse_error,no shareholding block on the company page for 'TB20Y0534',
2026-09-08 09:59:53.598102+00:00,dse_ownership,TB20Y0540,parse_error,no shareholding block on the company page for 'TB20Y0540',
