regime,door,footprint,window,n_fresh_doors,n_doors_with_footprint,recall,base_share_predoor_rows,recall_lift,lead_median,lead_p25,lead_p75
DISCOVERY,abn_up,F08d_idio_move_down,5,6150,340,0.055284552845528454,0.043934636122317204,1.2583364225804048,2.0,1.0,4.0
DISCOVERY,abn_up,F08d_idio_move_down,10,6150,570,0.09268292682926829,0.0845773478071313,1.0958362875201622,4.0,2.0,7.0
DISCOVERY,abn_up,F09_idio_quiet_volume,5,6150,174,0.02829268292682927,0.02347393226306698,1.2052809307686354,2.0,1.0,3.0
DISCOVERY,abn_up,F09_idio_quiet_volume,10,6150,261,0.042439024390243905,0.042405946987047534,1.0007800180292277,3.0,2.0,7.0
DISCOVERY,abn_up,F10_coil_then_volume,5,6150,34,0.0055284552845528455,0.003926578771640333,1.407957309931497,2.0,1.0,3.0
DISCOVERY,abn_up,F10_coil_then_volume,10,6150,56,0.009105691056910569,0.007690354909741117,1.1840404199521004,4.0,2.0,7.25
DISCOVERY,abn_up,F11_closing_strength,5,6150,79,0.012845528455284553,0.014100363684527127,0.9110068890904174,3.0,1.0,4.0
DISCOVERY,abn_up,F11_closing_strength,10,6150,146,0.023739837398373983,0.02727633953455003,0.8703454277031389,5.0,2.25,7.75
DISCOVERY,abn_up,F12_closing_strength_10s,5,6150,55,0.00894308943089431,0.008783064111125215,1.0182197599544327,1.0,1.0,3.0
DISCOVERY,abn_up,F12_closing_strength_10s,10,6150,87,0.014146341463414635,0.013929282950977092,1.0155828920412817,3.0,1.0,7.5
DISCOVERY,abn_up,F13_volume_price_divergence,5,6150,79,0.012845528455284553,0.01038901551315942,1.2364529092302876,2.0,1.0,3.5
DISCOVERY,abn_up,F13_volume_price_divergence,10,6150,127,0.02065040650406504,0.0197681028250396,1.0446326937306223,4.0,2.0,7.0
DISCOVERY,abn_up,F14_volume_no_range,5,6150,126,0.02048780487804878,0.013832705117521427,1.4811133978485207,2.0,1.0,3.0
DISCOVERY,abn_up,F14_volume_no_range,10,6150,187,0.03040650406504065,0.025871821899437642,1.1752749451982574,3.0,1.0,6.5
DISCOVERY,abn_up,F15_REF_abnormal_volume,5,6150,1554,0.2526829268292683,0.14004337724405494,1.8043190031679637,1.0,1.0,2.0
DISCOVERY,abn_up,F15_REF_abnormal_volume,10,6150,1927,0.31333333333333335,0.22161853411405014,1.4138408350453424,2.0,1.0,4.0
DISCOVERY,abn_up,F16u_REF_moved_up,5,6150,2310,0.375609756097561,0.19073846170826872,1.9692397261337349,2.0,1.0,3.0
DISCOVERY,abn_up,F16u_REF_moved_up,10,6150,3019,0.49089430894308944,0.33328734388883063,1.472886138475241,3.0,1.0,5.0
