panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path1=DEPARTURE→EXTREME,10,OK,sell 9 sessions after purchase,151,12,1,138,97,-0.019171752976484647,-0.023070286705201806,-0.027171752976484654,-2.044932943472275,-2.90862768536343,-0.0053244391691678545,-0.6604351572056606,0.6014492753623188,0.6231884057971014,-0.18570671660695331,0.17979297602632127,0.08775371751845981,-0.08938754139593376,-0.029171752976484652,-0.031171752976484654,0.040861469539747834,True,0.5089746170563195,False,False
POSTBREAK,path1=DRIFT→CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,6089,148,58,5883,419,-0.0008051794724319721,0.0,-0.008805179472431972,-11.486122914463563,-23.011565645147588,6.902160489624463e-05,0.19518352924543522,0.6070032296447391,0.6940336562978072,-0.04301009175829588,0.05129329438755048,0.026324334040682667,-0.018957635835454865,-0.010805179472431972,-0.012805179472431972,1.549094929408936e-30,True,0.8452492728405916,False,True
POSTBREAK,path1=DRIFT→CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,6089,148,61,5880,418,-0.0017456834715187642,-0.0027074414788937308,-0.009745683471518767,-8.006970663597162,-17.540457118713537,0.0006524530395859464,1.2514507499632275,0.5930272108843537,0.6505102040816326,-0.0621390385277317,0.07003403783820082,0.03647023353399085,-0.029731634344969775,-0.011745683471518767,-0.013745683471518767,1.1756852196255428e-15,True,0.21077007144250753,False,True
POSTBREAK,path1=DRIFT→CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,6089,148,92,5849,417,-0.0032135342089079397,-0.004866189651173011,-0.01121353420890794,-6.806239782753725,-16.045290882742883,0.0007293220383864142,1.1069097995742863,0.5942896221576338,0.6445546247221747,-0.08160403230903343,0.08783219327590737,0.04383769001954634,-0.03812883754746925,-0.01321353420890794,-0.01521353420890794,1.0018268416389275e-11,True,0.2683329285867116,False,True
POSTBREAK,path1=DRIFT→CALM,5,OK,sell 4 sessions after purchase,6089,148,134,5807,415,-0.005291944702067995,-0.0070175726586466465,-0.013291944702067996,-6.052201379596175,-14.69442781032871,0.0013652149317412603,1.6537128694259349,0.5927329085586361,0.6323402789736525,-0.1067350951100221,0.11021287591395035,0.05504143237952514,-0.05124805396458162,-0.015291944702067996,-0.017291944702067998,1.4287969640899457e-09,True,0.09818586654636756,False,True
POSTBREAK,path1=DRIFT→CALM,10,OK,sell 9 sessions after purchase,6089,148,219,5722,410,-0.010252759427435951,-0.011696039763191187,-0.01825275942743595,-5.874604858627155,-14.247931904383446,0.0026526473749143758,2.256772224699369,0.5847605732261447,0.6118490038448096,-0.16102381154602807,0.1508136864336404,0.07597304546853764,-0.07623131632652226,-0.02025275942743595,-0.02225275942743595,4.238531220862671e-09,True,0.024022311150268014,False,True
POSTBREAK,path1=DRIFT→DEPARTURE,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,1424,52,11,1361,382,-0.0025015778575148743,-0.0022547923870890932,-0.010501577857514875,-8.725814742768582,-11.571851338952753,-0.0016855674276697683,-1.7301663750132144,0.6091109478324761,0.6811168258633358,-0.049723435352430505,0.057992826834937276,0.028084408734046565,-0.023231011131642183,-0.012501577857514875,-0.014501577857514875,2.6427100629336694e-18,True,0.08360055407200753,False,True
POSTBREAK,path1=DRIFT→DEPARTURE,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,1424,52,13,1359,382,-0.002644928846951799,-0.003848850097681364,-0.0106449288469518,-5.981768379208686,-8.082120941543895,-0.0011702769884916464,-0.783988973287666,0.6019131714495953,0.6438557763061075,-0.0730429619157304,0.07698593442458689,0.03931152628708908,-0.035500056184398165,-0.0126449288469518,-0.0146449288469518,2.207279992130156e-09,True,0.4330465804982975,False,True
POSTBREAK,path1=DRIFT→DEPARTURE,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,1424,52,29,1343,380,-0.004845074258959814,-0.007092228309491798,-0.012845074258959817,-5.902346798249915,-8.018399349826165,-0.00191319708017796,-1.0869922548363278,0.6068503350707372,0.6515264333581534,-0.09130011388116098,0.10058751905741695,0.04771118051645042,-0.04467369599110848,-0.014845074258959817,-0.016845074258959817,3.5836685237325863e-09,True,0.277040232624298,False,True
POSTBREAK,path1=DRIFT→DEPARTURE,5,OK,sell 4 sessions after purchase,1424,52,23,1349,380,-0.01015726826013953,-0.01526747213078842,-0.018157268260139532,-6.404255987458394,-8.797604835061318,-0.006102421371917983,-2.6160497710784933,0.6271312083024463,0.670126019273536,-0.12058320247814981,0.121586359887995,0.05757869186551888,-0.06068101001812065,-0.020157268260139534,-0.022157268260139532,1.5110440502657207e-10,True,0.008895359023661564,False,True
POSTBREAK,path1=DRIFT→DEPARTURE,10,OK,sell 9 sessions after purchase,1424,52,41,1331,375,-0.019696407564869293,-0.020761991448429128,-0.027696407564869296,-7.956223064551127,-10.048688970874165,-0.011425151480467884,-4.076486462458188,0.628099173553719,0.6611570247933884,-0.18397123870717225,0.14842071608945118,0.07716106564166815,-0.09056294875539866,-0.029696407564869298,-0.0316964075648693,1.773705011311749e-15,True,4.572131608585128e-05,True,True
POSTBREAK,path1=DRIFT→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,6874,215,53,6606,419,-0.0011617226184333742,0.0,-0.009161722618433375,-11.621186301494971,-24.47078781701132,-0.0004631047803060483,-1.3275629023746407,0.6097487132909476,0.6875567665758402,-0.0465200156348929,0.053244514518812285,0.026976931460662032,-0.02064176506199809,-0.011161722618433375,-0.013161722618433375,3.216387768609596e-31,True,0.18432254680427973,False,True
POSTBREAK,path1=DRIFT→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,6874,215,74,6585,418,-0.0014957227058724736,-0.0017714796483821156,-0.009495722705872475,-8.076425882650419,-17.224751109123137,-0.0002586841992428437,-0.4908920817395349,0.5866362946089597,0.644039483675019,-0.06613980250454507,0.07550755250814525,0.037368160396406266,-0.031694559850772006,-0.011495722705872475,-0.013495722705872475,6.669266716568201e-16,True,0.6235027777565023,False,True
POSTBREAK,path1=DRIFT→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,6874,215,82,6577,417,-0.0014318945901365906,-0.0022246950221111624,-0.009431894590136592,-6.645056643188972,-13.845861188109037,0.00036524802189575684,0.5846379830629376,0.5739698950889464,0.624904971871674,-0.08249327853788241,0.09533582247376188,0.04538819001650452,-0.03955620962315294,-0.011431894590136592,-0.013431894590136592,3.031004891658052e-11,True,0.5587911622438482,False,True
POSTBREAK,path1=DRIFT→DRIFT,5,OK,sell 4 sessions after purchase,6874,215,130,6529,415,-0.0036275907168466176,-0.005797117684325957,-0.01162759071684662,-5.566752519700666,-12.688572608354198,0.001141349859428346,1.4055186064709886,0.5752795221320264,0.6158676673303722,-0.11379275162645908,0.12282880322075723,0.05761213717782442,-0.05279229648019312,-0.01362759071684662,-0.01562759071684662,2.5953057806528327e-08,True,0.1598671204101997,False,True
