panel,cohort,horizon,exec_status,exec_note,n_occurrences,n_untradeable,n_no_outcome,n_measured,n_dates,gross_mean,gross_median,net_verified_mean,t_clustered,t_naive,excess_vs_base,t_excess,fail_share_gross,fail_share_net_verified,p05,p95,mfe_mean,mae_mean,net_est_+0.2%,net_est_+0.4%,p_clustered,survives_fdr10,p_excess,excess_survives_fdr10,eligible
POSTBREAK,path2=CALM→DEPARTURE→DRIFT,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,391,11,0,380,231,-0.01026839397560329,-0.010230335170715421,-0.01826839397560329,-9.926921816311463,-9.561342633689048,-0.0038355013733096708,-1.937854072952701,0.6736842105263158,0.7473684210526316,-0.0672319812700947,0.05175214295373155,0.020470963580433425,-0.03173850628101383,-0.020268393975603288,-0.02226839397560329,3.179184154342092e-23,True,0.052641028531545134,False,True
POSTBREAK,path2=CALM→DEPARTURE→DRIFT,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,391,11,0,380,231,-0.005868649797047615,-0.009297404367267333,-0.013868649797047616,-5.40733132413843,-5.00266826396734,-0.00022643707765412457,-0.07892522480598528,0.6263157894736842,0.6657894736842105,-0.08340660269113369,0.09414140212115386,0.03272919721114668,-0.04179426350893573,-0.015868649797047614,-0.017868649797047616,6.39707401367796e-08,True,0.9370920993281913,False,True
POSTBREAK,path2=CALM→DEPARTURE→DRIFT,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,391,11,2,378,229,-0.009895885311943136,-0.012712549182905021,-0.017895885311943138,-5.148180418723193,-5.296386929118443,-0.0032863797065322514,-0.8974194290371598,0.6296296296296297,0.656084656084656,-0.10947597216271825,0.10285893100025445,0.042727405405715485,-0.05114373995182906,-0.01989588531194314,-0.02189588531194314,2.6302544341877196e-07,True,0.369495148899525,False,True
POSTBREAK,path2=CALM→DEPARTURE→DRIFT,5,OK,sell 4 sessions after purchase,391,11,6,374,225,-0.005428929001500788,-0.007177710666045887,-0.01342892900150079,-3.2983841624253536,-3.004625641954648,0.0007277250348482118,0.15324869378300732,0.5802139037433155,0.606951871657754,-0.125903059510727,0.15341910968813074,0.05766465222482423,-0.06510420745222759,-0.01542892900150079,-0.01742892900150079,0.0009724299337629204,True,0.8782021590661101,False,True
POSTBREAK,path2=CALM→DEPARTURE→DRIFT,10,OK,sell 9 sessions after purchase,391,11,7,373,226,-0.01260170241726492,-0.01869213301215252,-0.020601702417264924,-3.8056025039433243,-3.5177558615202993,-0.003725215655758995,-0.635604001089307,0.5978552278820375,0.6112600536193029,-0.19257261243435775,0.16593206126563703,0.08060991206280589,-0.08952634785930011,-0.022601702417264925,-0.024601702417264924,0.00014145941313294336,True,0.525034560981851,False,True
POSTBREAK,path2=DRIFT→CALM→DEPARTURE,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,361,18,0,343,218,-0.010759467379357564,-0.007662872745569137,-0.018759467379357565,-8.985123342595497,-9.666625481441393,-0.0016619846996026584,-0.8160914053511534,0.6822157434402333,0.7405247813411079,-0.0743854018766839,0.04694171337531655,0.022492130389426497,-0.03188568895574973,-0.020759467379357563,-0.022759467379357565,2.5844425322088506e-19,True,0.41444785919005706,False,True
POSTBREAK,path2=DRIFT→CALM→DEPARTURE,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,361,18,1,342,217,-0.013058811854546418,-0.01351433619395963,-0.02105881185454642,-7.743282729496399,-8.495629000953945,-0.002344995181177601,-0.9123048241164078,0.6637426900584795,0.6988304093567251,-0.0886898276405412,0.06449932082196072,0.03249318503930741,-0.04337240106312108,-0.023058811854546418,-0.02505881185454642,9.688227710547715e-15,True,0.3616082755483201,False,True
POSTBREAK,path2=DRIFT→CALM→DEPARTURE,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,361,18,3,340,217,-0.013511399523572453,-0.015296721304507677,-0.021511399523572453,-6.503422180664802,-6.792378400539159,-0.0033606366077269406,-1.056876948886594,0.6470588235294118,0.6941176470588235,-0.09599409876820908,0.09066799552062793,0.040156177460748586,-0.05248616695241272,-0.02351139952357245,-0.025511399523572453,7.851304595496362e-11,True,0.29056774991761,False,True
POSTBREAK,path2=DRIFT→CALM→DEPARTURE,5,OK,sell 4 sessions after purchase,361,18,4,339,216,-0.015756879121140065,-0.01641302964133026,-0.023756879121140065,-5.107250557776197,-5.604769632192258,-0.0021161114598255808,-0.5046131431440298,0.6224188790560472,0.6637168141592921,-0.14131984852498855,0.12172282478862498,0.05101882752428798,-0.06867338798525685,-0.025756879121140067,-0.027756879121140065,3.2688018244365325e-07,True,0.6138305767445542,False,True
POSTBREAK,path2=DRIFT→CALM→DEPARTURE,10,OK,sell 9 sessions after purchase,361,18,3,340,215,-0.016689997470450343,-0.016654571476384467,-0.024689997470450344,-4.11505218994268,-4.221808099042953,-0.0015296686215005492,-0.27145973444475685,0.5794117647058824,0.6147058823529412,-0.17916583599026786,0.16564535302221045,0.07432413909663846,-0.08886278413313735,-0.026689997470450345,-0.028689997470450344,3.870918201665462e-05,True,0.7860374646060793,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→DEPARTURE,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,353,14,0,339,198,-0.011733894434641175,-0.012195273093818243,-0.019733894434641172,-7.988215709353912,-9.45434855110148,-0.004092264381319043,-1.734522332232985,0.6902654867256637,0.7345132743362832,-0.07668627392288131,0.05025346196681059,0.023264809877982667,-0.035150912333323465,-0.021733894434641174,-0.023733894434641172,1.3690574886913404e-15,True,0.08282544681756718,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→DEPARTURE,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,353,14,5,334,196,-0.01212528133607976,-0.012922770165348879,-0.02012528133607976,-5.962759951632452,-6.555465352092662,-0.0045922900986613445,-1.3882328743073138,0.6467065868263473,0.6796407185628742,-0.10303066269641822,0.08346882548572723,0.03553996055889509,-0.04963419551631679,-0.022125281336079758,-0.02412528133607976,2.4801264340823636e-09,True,0.16506614486888757,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→DEPARTURE,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,353,14,7,332,196,-0.015189986504919335,-0.014902815288407851,-0.023189986504919335,-5.546686225343209,-6.02683821713271,-0.005697889162516973,-1.4953386553874648,0.6566265060240963,0.6957831325301205,-0.12516314295400596,0.10447923641382602,0.04551023389646928,-0.06002344765061153,-0.025189986504919333,-0.027189986504919335,2.9113452178224506e-08,True,0.13482608155472953,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→DEPARTURE,5,OK,sell 4 sessions after purchase,353,14,7,332,195,-0.020064478310482203,-0.02290209799543506,-0.028064478310482203,-5.775382785219922,-5.979258864293147,-0.00963164929498122,-2.1332866326959,0.6927710843373494,0.7108433734939759,-0.13575361936278477,0.1302892384081866,0.055064322283240624,-0.07733934210900184,-0.0300644783104822,-0.0320644783104822,7.67783343331851e-09,True,0.032901220098164596,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→DEPARTURE,10,OK,sell 9 sessions after purchase,353,14,10,329,193,-0.029137797881016995,-0.0284379353205334,-0.037137797881016996,-6.29811352370886,-6.327891075068527,-0.016485982491935475,-2.8860246488322963,0.6565349544072948,0.6656534954407295,-0.19349940663581502,0.1512171628525692,0.0738502685147518,-0.10723195655673133,-0.039137797881017,-0.041137797881017,3.012898297944106e-10,True,0.0039014160083268184,True,True
POSTBREAK,path2=DRIFT→DEPARTURE→CALM,1,UNKNOWN,same-session round trip — needs intraday netting / same-day sell,329,13,0,316,216,-0.00959506307262217,-0.008511306168628018,-0.017595063072622166,-7.94384052471324,-9.322538084614571,-0.0010088324786397902,-0.4924418308965155,0.6613924050632911,0.7025316455696202,-0.06968318055833067,0.04504786985058375,0.019999570927115105,-0.029528587789904494,-0.019595063072622168,-0.021595063072622166,1.960155743752891e-15,True,0.622407033896171,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→CALM,2,UNKNOWN,sell 1 session after purchase — depends on broker saleability,329,13,1,315,215,-0.009880513813777823,-0.009132483563272474,-0.017880513813777824,-5.726213095823241,-6.526873209615623,-0.0003745547335889855,-0.1397858225383171,0.6412698412698413,0.692063492063492,-0.08991398125896786,0.0747176596165867,0.03124877483626275,-0.04076624089248288,-0.019880513813777825,-0.021880513813777824,1.026972094033735e-08,True,0.8888292152821425,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→CALM,3,OK,sell 2 sessions after purchase — unaffected by the settlement question,329,13,2,314,215,-0.011850116143925385,-0.017107737069705746,-0.019850116143925383,-5.059941098979624,-5.7549251950875515,0.0006405046024828958,0.19183140805688573,0.6687898089171974,0.7101910828025477,-0.10720332126291465,0.10962497158248836,0.04106686882333189,-0.04926651762065382,-0.02185011614392538,-0.023850116143925383,4.193860098667352e-07,True,0.8478742677651674,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→CALM,5,OK,sell 4 sessions after purchase,329,13,2,314,216,-0.018403044880753932,-0.025724353309402963,-0.026403044880753932,-4.589541866154626,-5.745761867982342,-0.0009056089314063682,-0.22644534309949385,0.678343949044586,0.7006369426751592,-0.1522401211293872,0.1161269838051642,0.051326002256527226,-0.06747311494667849,-0.02840304488075393,-0.030403044880753932,4.442198983555604e-06,True,0.8208550649727742,False,True
POSTBREAK,path2=DRIFT→DEPARTURE→CALM,10,OK,sell 9 sessions after purchase,329,13,11,305,208,-0.02800412204451341,-0.0289875368732523,-0.0360041220445134,-5.097383879878921,-5.7991859670484445,-0.00372598290472872,-0.700356334647372,0.6557377049180327,0.6852459016393443,-0.20000844320141992,0.14794793232459966,0.07137771170435567,-0.10172381440953154,-0.0380041220445134,-0.040004122044513396,3.44379527536729e-07,True,0.4837047984118485,False,True
