regime,variant,footprint,outcome,horizon,door_outcome,n_guarded_rows,n_population,n_occurrences,n_no_outcome,n_measured,n_dates,n_hit,n_failed,hit_rate,fail_share,base_sameday,excess_sameday,lift_sameday,t_sameday,base_volmatched,excess_volmatched,lift_volmatched,t_volmatched,p_sameday,fdr10_sameday,p_volmatched,fdr10_volmatched,eligible,lift_vm_vs_ref_volume,lift_vm_vs_ref_moved,pass_prereg,beats_both_refs,tier,status
DISCOVERY,fresh,F07_idio_activity,run20,10,True,362402,324571,3241,395,2846,773,152,2694,0.05340829234012649,0.9465917076598735,0.02838357799209148,0.025024714348035014,1.8816617254881556,5.07747298083577,0.029277782977995766,0.024130509362130726,1.8241918242329493,4.905352203790286,3.8248787801074796e-07,True,9.325984189726462e-07,True,True,1.2900256320497003,1.2566794922785902,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_up,5,True,362402,324571,3241,211,3030,787,150,2880,0.04950495049504951,0.9504950495049505,0.02553544783936318,0.02396950265568633,1.9386756326527812,5.260713551443538,0.02749273681929114,0.02201221367575837,1.800655599347709,4.892640814374913,1.4349743585748011e-07,True,9.949188330085127e-07,True,True,1.1072968104898566,1.0112685962016872,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_down,2,True,362402,349931,5654,127,5527,845,56,5471,0.010132078885471322,0.9898679211145287,0.0025634438327792448,0.007568635052692077,3.9525261899287587,4.982392553706867,0.0029259857440521856,0.007206093141419137,3.4627916099958327,4.834098171648212,6.280286463687259e-07,True,1.3375057361138041e-06,True,True,1.3725914475955183,1.5263143246489892,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,limit_up,1,True,362402,324571,3241,68,3173,795,62,3111,0.019539867633154743,0.9804601323668453,0.005055232433710676,0.014484635199444068,3.865275808655935,4.906076735134861,0.00584994825870268,0.013689919374452063,3.3401778561179998,4.6697509551021605,9.291618546548968e-07,True,3.0156510125620504e-06,True,True,1.3921640850989687,1.1151615743922672,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_down,2,True,362402,349931,12549,216,12333,926,89,12244,0.007216411254358226,0.9927835887456418,0.003516371160909824,0.003700040093448402,2.052232521578028,4.100280581182343,0.0028238156259101396,0.004392595628448086,2.5555532691807086,4.6576852336869745,4.126495234358903e-05,True,3.1978465204404655e-06,True,True,1.0129776654843026,1.126425728563771,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,run20,5,True,362402,324571,3241,211,3030,787,75,2955,0.024752475247524754,0.9752475247524752,0.00909042114966744,0.015662054097857314,2.7229184258894636,4.87365696225268,0.00999117379580387,0.014761301451720884,2.4774341587292166,4.5851926578085385,1.095511505548357e-06,True,4.535680117868229e-06,True,True,1.4803841432165428,1.4070226689669811,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,run20,5,True,362402,324571,8442,405,8037,915,141,7896,0.017543859649122806,0.9824561403508771,0.009836488635849329,0.007707371013273477,1.7835490182120244,3.700302870874906,0.007788808913184445,0.00975505073593836,2.2524444808789155,4.580268868156179,0.00021534230393255324,True,4.6437855825319374e-06,True,True,1.3459421640812304,1.2792430563772637,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F04_absorption_persistent,abn_down,3,True,362402,349931,1468,29,1439,771,56,1383,0.03891591382904795,0.9610840861709521,0.0106983972842465,0.028217516544801452,3.6375461478096383,4.47148127314326,0.012751710784477139,0.026164203044570813,3.0518190450508738,4.269280922531442,7.767966312217733e-06,True,1.9610415539216707e-05,True,True,1.2111687586330762,1.5425477169722879,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F07_idio_activity,abn_down,10,True,362402,349931,5654,608,5046,824,163,4883,0.03230281411018628,0.9676971858898137,0.023652608169550827,0.008650205940635456,1.3657189041744366,2.6622635448155827,0.019784889625480747,0.012517924484705536,1.6327012544251869,4.10172190686062,0.007761708122857096,True,4.100869600328443e-05,True,True,1.093553173558128,1.0923127340921663,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F09_idio_quiet_volume,abn_down,2,True,362402,349931,2045,79,1966,699,45,1921,0.02288911495422177,0.9771108850457783,0.010350327439688249,0.01253878751453352,2.2114387286390227,3.276410074242545,0.007843960647011915,0.015045154307209855,2.9180558118864566,4.012472300090213,0.0010513578722029725,True,6.0086131443527246e-05,True,True,1.0507900552807699,1.2993458013552257,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F03_absorption,abn_down,1,True,362402,349931,3064,46,3018,1065,65,2953,0.021537442014579192,0.9784625579854208,0.006335146717973032,0.01520229529660616,3.3996753308769816,4.088569897978406,0.006992541023251453,0.014544900991327738,3.080059443764911,4.000194447966016,4.340407656377707e-05,True,6.329045787142778e-05,True,True,1.2173422636166393,1.0911793375248,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F04_absorption_persistent,abn_down,5,True,362402,349931,1468,52,1416,761,57,1359,0.04025423728813559,0.9597457627118644,0.013585286355929942,0.02666895093220565,2.9630760981762245,4.280219326520157,0.016100499854926006,0.024153737433209584,2.5001855626128067,3.915367712303901,1.8670922036643897e-05,True,9.026652781069126e-05,True,True,1.204505461077801,1.4330083050487703,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F14_turnover_no_range,limit_down,3,True,362402,349931,1141,84,1057,635,24,1033,0.02270577105014191,0.9772942289498581,0.0037331696045721555,0.018972601445569757,6.082169698996072,4.053957958752789,0.0048963413108397795,0.01780942973930213,4.637293360222801,3.8947092052406522,5.035827041772229e-05,True,9.831660604206903e-05,True,True,2.066149106920602,2.166873598449109,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F17_abnormal_volume_persistent,limit_down,1,True,362402,349931,8605,85,8520,1277,46,8474,0.00539906103286385,0.9946009389671362,0.0013999884450255136,0.003999072587838336,3.8565039961922376,4.347046868942821,0.00197085684684378,0.00342820418602007,2.7394486015106336,3.813135265985406,1.3798274270226794e-05,True,0.0001372149641857245,True,True,1.0247819367573376,1.021257997881318,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F12_accumulation_proxy,limit_down,3,True,362402,349931,1482,22,1460,733,33,1427,0.022602739726027398,0.9773972602739726,0.0040582089242676535,0.018544530801759745,5.5696343258390275,4.060818610842259,0.005846938144590363,0.016755801581437035,3.865739497678737,3.7422060841271323,4.890095367411506e-05,True,0.00018241182320503772,True,True,1.722382775958964,1.8063487050125984,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F08_idio_move,limit_down,1,True,362402,349931,12549,122,12427,926,44,12383,0.0035406775569324857,0.9964593224430676,0.0017317209288886743,0.0018089566280438114,2.0446005461195775,2.936993769423961,0.0012864710160734299,0.002254206540859056,2.7522404412493886,3.6494458465950053,0.003314107621244258,True,0.0002628066331670093,True,True,1.029567150210491,1.0260267563218364,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
DISCOVERY,fresh,F12_accumulation_proxy,abn_down,10,True,362402,349931,1482,63,1419,714,41,1378,0.028893587033121917,0.971106412966878,0.01645952111674629,0.012434065916375626,1.7554330304133166,2.8866945298977655,0.014810764595334128,0.014082822437787789,1.9508504673839955,3.6408373431054617,0.00389312001117779,True,0.0002717527873058119,True,True,1.3066436458984665,1.305161493603076,True,True,A,"PHASE5_CANDIDATE — DISCOVERY WINDOW ONLY, fresh-door, beats both references, NOT VALIDATED"
