regime,feature,sessions_before_door,n_events,n_dates,mean_excess_vs_xs,t_over_dates
POSTBREAK,rel_volume_z,9,306,178,0.03836592954420244,0.791188624443586
POSTBREAK,rel_volume_z,10,306,178,0.002490063576131813,0.7284172007983147
POSTBREAK,rel_turnover_z,1,312,182,0.3125137926787437,4.82882477172315
POSTBREAK,rel_turnover_z,2,308,180,0.07364357589938096,0.7479345066723013
POSTBREAK,rel_turnover_z,3,308,180,0.07990425896039303,1.5341033949751375
POSTBREAK,rel_turnover_z,4,307,179,-0.017309634344350885,-0.9326784151184093
POSTBREAK,rel_turnover_z,5,307,179,0.09831534899040835,1.6361760913255092
POSTBREAK,rel_turnover_z,6,307,179,-0.03402284166703894,-0.6011114643068332
POSTBREAK,rel_turnover_z,7,306,178,-0.0026460788620797033,0.3184541531449338
POSTBREAK,rel_turnover_z,8,306,178,-0.004269788206885476,0.6020024519417354
POSTBREAK,rel_turnover_z,9,306,178,-0.0028832634174719303,0.35915529079363734
POSTBREAK,rel_turnover_z,10,306,178,-0.028143995891602717,0.4000334908526176
POSTBREAK,range_z,1,306,179,0.09046413135267667,-0.013478989938545053
POSTBREAK,range_z,2,304,177,0.12068283363109225,0.5396074828455306
POSTBREAK,range_z,3,301,176,0.0018686029848301127,0.3735304285751168
POSTBREAK,range_z,4,300,176,0.05708316130618644,0.20250424962861543
POSTBREAK,range_z,5,300,176,0.07890206617353482,0.6857827016161419
POSTBREAK,range_z,6,300,176,-0.04514758941609184,-2.2085448380274992
POSTBREAK,range_z,7,298,175,0.04836935448483391,-1.1420683350372727
POSTBREAK,range_z,8,298,175,0.004053935049852716,-0.2715681027906227
POSTBREAK,range_z,9,298,175,0.05982007263503861,0.47663331748912413
POSTBREAK,range_z,10,300,177,0.06762758003027135,0.9229449361798828
POSTBREAK,close_location,1,298,173,0.02183413020532025,0.5535516586909698
POSTBREAK,close_location,2,293,172,-0.01860846125554754,-1.2791644252791072
POSTBREAK,close_location,3,288,174,-0.019572066780926035,-0.7547409309503131
POSTBREAK,close_location,4,287,167,-0.0019927775650268745,-1.1795642842591498
POSTBREAK,close_location,5,290,171,-0.00509517003599463,0.054190825547731615
POSTBREAK,close_location,6,293,171,-0.006476073398778597,-1.1982760362872094
POSTBREAK,close_location,7,290,168,0.00627808950393305,-0.16713881192924143
POSTBREAK,close_location,8,289,168,-0.027921691692604167,-0.5308735607663764
POSTBREAK,close_location,9,288,166,-0.013226346745069999,0.7364410576841588
POSTBREAK,close_location,10,291,172,-0.02171841885677016,-0.3659961642964636
POSTBREAK,market_relative_ret,1,312,182,-0.0027213022679845877,-1.3415501264098115
POSTBREAK,market_relative_ret,2,308,180,-0.003729562909752324,-2.1229937956121274
POSTBREAK,market_relative_ret,3,308,180,-0.0037427773283245165,-1.3944183923979212
POSTBREAK,market_relative_ret,4,307,179,-0.002888362178460367,-0.6593481484128195
POSTBREAK,market_relative_ret,5,307,179,-0.0031941101883488296,-1.4888570520952515
POSTBREAK,market_relative_ret,6,307,179,-0.0011858520175684008,-1.4126033470343498
POSTBREAK,market_relative_ret,7,306,178,-0.001604848697742104,-0.6411933719076128
POSTBREAK,market_relative_ret,8,306,178,-0.0005082495531382633,0.4805564981690702
POSTBREAK,market_relative_ret,9,306,178,0.0010225454849033843,1.2997486122958213
POSTBREAK,market_relative_ret,10,306,178,0.0011585418714492334,0.9508800451284448
POSTBREAK,volume_price_divergence,1,312,182,0.14271792468084415,4.901818404270103
POSTBREAK,volume_price_divergence,2,308,180,0.015219669015410454,0.15551340579295095
POSTBREAK,volume_price_divergence,3,308,180,0.02401417473282777,0.726736073599343
POSTBREAK,volume_price_divergence,4,307,179,0.0013676449633287097,-0.5404081261302961
POSTBREAK,volume_price_divergence,5,307,179,0.0393888537945564,1.38457373921141
POSTBREAK,volume_price_divergence,6,307,179,-0.007308505143804683,-1.0171727162793984
POSTBREAK,volume_price_divergence,7,306,178,-0.002239062863911725,-0.12711483639495427
POSTBREAK,volume_price_divergence,8,306,178,0.011279719640980066,0.6088641647674554
POSTBREAK,volume_price_divergence,9,306,178,0.0006302958979573824,-0.07611699519241873
POSTBREAK,volume_price_divergence,10,306,178,-0.004698013286628637,-0.2067292845320125
POSTBREAK,accumulation_proxy,1,238,146,-0.007160463046617202,-1.3399072487323873
POSTBREAK,accumulation_proxy,2,236,145,-0.0009786517540922857,-0.5534389162635136
POSTBREAK,accumulation_proxy,3,236,144,0.010438311869367202,0.7216367067224921
POSTBREAK,accumulation_proxy,4,241,140,0.009593888847333022,0.5618949905068013
POSTBREAK,accumulation_proxy,5,243,141,0.016712684034375244,1.0884901134316372
POSTBREAK,accumulation_proxy,6,243,140,0.020185352217547102,1.5926279407365465
POSTBREAK,accumulation_proxy,7,243,140,0.021250784894599264,1.6039949726658287
POSTBREAK,accumulation_proxy,8,240,139,0.022540181783428547,1.4501339501656596
POSTBREAK,accumulation_proxy,9,238,139,0.01951952735906688,1.1667058436380886
POSTBREAK,accumulation_proxy,10,239,141,0.01386916162033924,0.7213522249530505
POSTBREAK,amihud_z,1,300,174,-0.13519386710014006,-2.0629729484796404
POSTBREAK,amihud_z,2,295,176,-0.032208141147912706,-0.8341802766526718
POSTBREAK,amihud_z,3,296,174,0.0014988336406952997,-0.7545115129569822
POSTBREAK,amihud_z,4,297,174,0.05066502453432427,1.0369622161231251
POSTBREAK,amihud_z,5,289,171,0.002839611501018819,-0.9421754803136086
POSTBREAK,amihud_z,6,290,170,0.0744932120318047,0.4732338919447725
POSTBREAK,amihud_z,7,286,165,0.06973556134858636,0.4686013300390839
POSTBREAK,amihud_z,8,289,173,0.043901099418675926,-0.24481301967681654
POSTBREAK,amihud_z,9,281,167,0.015919279207228087,-0.0649261797442129
POSTBREAK,amihud_z,10,294,173,0.08349368280596772,0.34078375643664277
POSTBREAK,ret_1,1,312,182,-0.0027213022679845873,-1.3415501264098115
POSTBREAK,ret_1,2,308,180,-0.003729562909752324,-2.122993795612128
POSTBREAK,ret_1,3,308,180,-0.0037427773283245165,-1.3944183923979212
POSTBREAK,ret_1,4,307,179,-0.0028883621784603682,-0.6593481484128195
POSTBREAK,ret_1,5,307,179,-0.0031941101883488305,-1.4888570520952515
POSTBREAK,ret_1,6,307,179,-0.0011858520175684006,-1.4126033470343498
POSTBREAK,ret_1,7,306,178,-0.0016048486977421042,-0.641193371907613
POSTBREAK,ret_1,8,306,178,-0.0005082495531382633,0.48055649816907064
POSTBREAK,ret_1,9,306,178,0.0010225454849033845,1.2997486122958215
POSTBREAK,ret_1,10,306,178,0.0011585418714492339,0.9508800451284448
