split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
dev,b_imb_top5,8,505,179,169,32,0.35445544554455444,0.5207100591715976,0.2958579881656805,0.4023668639053204,0.4188034188034188,-0.22222222222222296,0.25316455696202533,-0.5189873417721719,79,0.2675455022095723,0.10190664036817881,0.6245890861275434
dev,b_imb_weighted,8,505,176,165,26,0.3485148514851485,0.5575757575757576,0.296969696969697,0.2121212121212132,0.4188034188034188,-0.22222222222222296,0.2459016393442623,-0.09836065573773951,61,0.3116741182314953,0.1387723387723388,0.43434343434343614
dev,b_largest_wall_bid,8,505,205,192,19,0.40594059405940597,0.4791666666666667,0.3489583333333333,-0.17968749999999445,0.4188034188034188,-0.22222222222222296,0.53125,-0.93749999999998,32,-0.052083333333333315,0.06036324786324787,0.04253472222222851
dev,b_one_frame_pressure,8,505,58,54,56,0.11485148514851486,0.4074074074074074,0.4444444444444444,-1.2314814814814783,0.4188034188034188,-0.22222222222222296,0.4423076923076923,-0.20192307692306613,52,-0.034900284900284906,-0.01139601139601143,-1.0092592592592553
dev,score_ge_3,8,505,113,110,27,0.22376237623762377,0.5363636363636364,0.2727272727272727,0.12727272727272973,0.4188034188034188,-0.22222222222222296,0.5,0.4693877551020315,98,0.036363636363636376,0.11756021756021756,0.3494949494949527
dev,score_ge_4,8,505,31,30,14,0.061386138613861385,0.5,0.3,-0.049999999999998344,0.4188034188034188,-0.22222222222222296,0.7333333333333333,1.3000000000000018,30,-0.23333333333333328,0.08119658119658119,0.1722222222222246
dev,score_ge_5,8,505,5,4,4,0.009900990099009901,0.75,0.25,1.5000000000000036,0.4188034188034188,-0.22222222222222296,0.0,-1.000000000000023,4,0.75,0.3311965811965812,1.7222222222222265
dev,score_ge_6,8,505,0,0,0,0.0,,,,0.4188034188034188,-0.22222222222222296,,,0,,,
dev,score_ge_7,8,505,0,0,0,0.0,,,,0.4188034188034188,-0.22222222222222296,,,0,,,
val,composite,2,387,0,0,0,0.0,,,,0.14207650273224043,-0.1584699453551908,,,0,,,
val,mirror_composite,2,387,0,0,0,0.0,,,,0.14207650273224043,-0.1584699453551908,,,0,,,
val,b_imb_l1,2,387,155,150,34,0.4005167958656331,0.13333333333333333,0.20666666666666667,-0.12666666666666207,0.14207650273224043,-0.1584699453551908,0.1297709923664122,-0.26717557251909074,131,0.0035623409669211237,-0.008743169398907097,0.031803278688528724
val,b_imb_top5,2,387,153,150,22,0.3953488372093023,0.16666666666666666,0.26666666666666666,-0.0066666666666733935,0.14207650273224043,-0.1584699453551908,0.07575757575757576,-1.4848484848484904,66,0.0909090909090909,0.02459016393442623,0.1518032786885174
val,b_imb_weighted,2,387,164,159,22,0.42377260981912146,0.13836477987421383,0.2578616352201258,-0.1132075471698136,0.14207650273224043,-0.1584699453551908,0.10606060606060606,-0.22727272727273104,66,0.03230417381360777,-0.003711722858026595,0.045262398185377195
val,b_largest_wall_bid,2,387,247,239,22,0.6382428940568475,0.12552301255230125,0.26778242677824265,-0.21548117154812035,0.14207650273224043,-0.1584699453551908,0.288135593220339,0.1355932203389952,59,-0.16261258066803774,-0.01655349017993918,-0.05701122619292956
val,b_one_frame_pressure,2,387,44,41,44,0.11369509043927649,0.1951219512195122,0.12195121951219512,0.10975609756098237,0.14207650273224043,-0.1584699453551908,0.17073170731707318,-0.7560975609756032,41,0.02439024390243902,0.053045448487271774,0.26822604291617314
val,score_ge_3,2,387,131,126,32,0.3385012919896641,0.18253968253968253,0.2698412698412698,-0.10317460317459251,0.14207650273224043,-0.1584699453551908,0.05,-0.425000000000004,120,0.1325396825396825,0.0404631798074421,0.055295342180598284
val,score_ge_4,2,387,39,38,14,0.10077519379844961,0.2631578947368421,0.2631578947368421,0.06578947368420772,0.14207650273224043,-0.1584699453551908,0.05263157894736842,-0.026315789473688324,38,0.21052631578947367,0.12108139200460166,0.2242594190393985
val,score_ge_5,2,387,13,13,7,0.03359173126614987,0.3076923076923077,0.38461538461538464,0.34615384615384015,0.14207650273224043,-0.1584699453551908,0.07692307692307693,0.07692307692306435,13,0.23076923076923078,0.16561580496006728,0.5046237915090309
