candidate,outcome,horizon,n_signal,n_population,n_symbols,n_dates,n_years,hit_rate,base_rate_all,control_rate_mean,control_rate_sd,n_matched,match_share,lift,excess_pp,t_nw_date,n_diff_dates,ci_lo,ci_hi,ci_excludes_control,median_mfe_20d,mean_mfe_20d,median_mae_20d,mean_mae_20d,median_fwd_ret_20d,mean_fwd_ret_20d,median_days_to_p10,years_total,years_beat,year_consistency,loso_worst_rate,top3_symbol_share,p_nw,check,strata,unit,median_mfe_30d,mean_mfe_30d,median_mae_30d,mean_mae_30d,median_fwd_ret_30d,mean_fwd_ret_30d,median_mfe_10d,mean_mfe_10d,median_mae_10d,mean_mae_10d,median_fwd_ret_10d,mean_fwd_ret_10d,median_mfe_5d,mean_mfe_5d,median_mae_5d,mean_mae_5d,median_fwd_ret_5d,mean_fwd_ret_5d,split_value,dh_thr,dex_thr,bh_reject_q10,bh_p_threshold
surface dh>=-0.1 dex>=-0.02,hit_p10_20d,20,171249,587082,392,2320,12,0.19838947964659648,0.3274380750900215,0.32139821342967717,0.001108559761377809,171054,0.9988613072193122,0.6172700138216151,-12.300873378308069,-12.13780155297139,2320,0.18897726935126877,0.20822828313743252,False,0.03293413173652704,0.06695869953831166,-0.021849963583393972,-0.04491028440430229,0.0,0.00572533207913569,13.0,12,1,0.08333333333333333,0.19878053078631092,0.024946131072298233,6.659122398963273e-34,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.02,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.02,hit_p10_20d,20,171249,587082,392,2320,12,0.19838947964659648,0.3274380750900215,0.26085680006460316,0.0009155211736572192,86683,0.5061810579915795,0.7605302203994809,-6.2467320418006675,-12.13780155297139,2320,0.18897726935126877,0.20822828313743252,False,0.03293413173652704,0.06695869953831166,-0.021849963583393972,-0.04491028440430229,0.0,0.00572533207913569,13.0,12,1,0.08333333333333333,0.19878053078631092,0.024946131072298233,6.659122398963273e-34,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.02,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.01,hit_p10_20d,20,123450,587082,390,2286,12,0.17169704333738356,0.3274380750900215,0.2977815090605279,0.0011529453263378808,123282,0.9986391251518834,0.5765873236336758,-12.608446572314435,-12.038654695575834,2286,0.16184537775582344,0.1829661790573477,False,0.025104602510460206,0.05855900639276135,-0.012422360248447228,-0.040723357741519146,0.0,0.0034727191572477487,14.0,12,1,0.08333333333333333,0.17197748030341298,0.02490886998784933,2.2255538758622648e-33,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.01,True,0.052335726251435136
surface dh>=-0.1 dex>=-0.01,hit_p10_20d,20,123450,587082,390,2286,12,0.17169704333738356,0.3274380750900215,0.1942537754867994,0.0010465527331825542,82837,0.6710166059133252,0.8838800837009596,-2.2556732149415835,-12.038654695575834,2286,0.16184537775582344,0.1829661790573477,False,0.025104602510460206,0.05855900639276135,-0.012422360248447228,-0.040723357741519146,0.0,0.0034727191572477487,14.0,12,1,0.08333333333333333,0.17197748030341298,0.02490886998784933,2.2255538758622648e-33,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.1,-0.01,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.1,hit_p10_20d,20,163745,587082,392,2332,12,0.23216586766008124,0.3274380750900215,0.3193122808303704,0.0011077865528346372,163686,0.9996396836544628,0.7270809223359894,-8.714641317028915,-7.430007701034746,2332,0.22100811184442176,0.24368512715233887,False,0.03401360544217691,0.07363867100741096,-0.028720626631853596,-0.04943395623595289,0.0,0.006364580329148827,11.0,12,3,0.25,0.23218917888887522,0.02953983327735198,1.0859135688101521e-13,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.1,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.1,hit_p10_20d,20,163745,587082,392,2332,12,0.23216586766008124,0.3274380750900215,0.43825927924686703,0.0025213129641616784,16677,0.1018473846529665,0.5297454695278108,-20.60934115867858,-7.430007701034746,2332,0.22100811184442176,0.24368512715233887,False,0.03401360544217691,0.07363867100741096,-0.028720626631853596,-0.04943395623595289,0.0,0.006364580329148827,11.0,12,3,0.25,0.23218917888887522,0.02953983327735198,1.0859135688101521e-13,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.1,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.07,hit_p10_20d,20,143441,587082,390,2321,12,0.20883847714391282,0.3274380750900215,0.30379964855517133,0.0014329918184532778,143408,0.9997699402541812,0.6874217206518574,-9.49611714112585,-8.828069812306387,2321,0.1975613202475795,0.2212702135380598,False,0.02941176470588247,0.06690539673823138,-0.0234375,-0.04483701437461191,0.0,0.005861248462228804,12.0,12,2,0.16666666666666666,0.20876073326733646,0.032647569383927884,1.0649757979419871e-18,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.07,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.07,hit_p10_20d,20,143441,587082,390,2321,12,0.20883847714391282,0.3274380750900215,0.3413341447925487,0.0014366695442388853,18896,0.13173360475735668,0.6118300214888432,-13.249566764863587,-8.828069812306387,2321,0.1975613202475795,0.2212702135380598,False,0.02941176470588247,0.06690539673823138,-0.0234375,-0.04483701437461191,0.0,0.005861248462228804,12.0,12,2,0.16666666666666666,0.20876073326733646,0.032647569383927884,1.0649757979419871e-18,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.07,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.05,hit_p10_20d,20,123210,587082,384,2305,12,0.18349159970781592,0.3274380750900215,0.2909435938235724,0.0012641989974625028,123178,0.9997402808213619,0.6306775732565337,-10.745199411575646,-9.302342193282653,2305,0.17424486854746066,0.19489460466339087,False,0.024390243902439046,0.059934828841744024,-0.018074233668048556,-0.04063047018098367,0.0,0.004763756378446519,13.0,12,2,0.16666666666666666,0.18345217846395395,0.03577631685739794,1.3738529937615915e-20,8_surface,original,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.05,True,0.052335726251435136
surface dh>=-0.05 dex>=-0.05,hit_p10_20d,20,123210,587082,384,2305,12,0.18349159970781592,0.3274380750900215,0.3248234666228755,0.0018261915510602003,24358,0.1976949922895869,0.5648963777616699,-14.133186691505955,-9.302342193282653,2305,0.17424486854746066,0.19489460466339087,False,0.024390243902439046,0.059934828841744024,-0.018074233668048556,-0.04063047018098367,0.0,0.004763756378446519,13.0,12,2,0.16666666666666666,0.18345217846395395,0.03577631685739794,1.3738529937615915e-20,8_surface,full,row,,,,,,,,,,,,,,,,,,,,-0.05,-0.05,True,0.052335726251435136
