source,t_recv,seq,epoch,body_sha256,http_status,elapsed_ms,t_source_str,symbol,instrument_number,market_category,open,ltp,ltp_spot,high,low,close_published,yclose,day_trades,day_volume,day_value_mn,public_trades,public_volume,public_value_mn,spot_trades,spot_volume,spot_value_mn,t_source_unix,company_id,sector_id,t_source_utc,feed_timestamp_str,feed_timestamp_utc,t_source
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:53:21,INDEXAGRO,958.0,A-EQ,68.4,68.1,0.0,68.9,68.1,0.0,68.4,100.0,11574.0,0.792,100.0,11574.0,0.79,0.0,0.0,0.0,1789026801,479,13,2026-09-10T07:53:21+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:53:21+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:00,INTECH,959.0,Z-EQ,23.7,23.1,0.0,23.7,23.0,0.0,23.2,49.0,18276.0,0.424,49.0,18276.0,0.42,0.0,0.0,0.0,1789026960,116,11,2026-09-10T07:56:00+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:00+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:34,INTRACO,960.0,Z-EQ,22.7,22.7,0.0,23.4,22.7,0.0,22.7,405.0,528885.0,12.173,405.0,528885.0,12.17,0.0,0.0,0.0,1789027054,388,9,2026-09-10T07:57:34+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:34+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:48,IPDC,961.0,A-EQ,32.0,31.7,0.0,32.6,31.6,0.0,31.8,813.0,1215911.0,38.851,813.0,1215911.0,38.85,0.0,0.0,0.0,1789027068,74,7,2026-09-10T07:57:48+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:48+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:54:37,ISLAMIBANK,962.0,Z-EQ,27.3,27.6,0.0,27.8,27.3,0.0,27.5,124.0,36248.0,1.0,124.0,36248.0,1.0,0.0,0.0,0.0,1789026877,24,1,2026-09-10T07:54:37+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:54:37+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:48,ISLAMICFIN,963.0,Z-EQ,11.3,10.9,0.0,11.3,10.9,0.0,10.9,34.0,17309.0,0.19,34.0,17309.0,0.19,0.0,0.0,0.0,1789027068,75,7,2026-09-10T07:57:48+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:48+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:38,ISLAMIINS,964.0,A-EQ,60.5,58.6,0.0,60.5,58.6,0.0,59.7,98.0,201191.0,12.028,98.0,201191.0,12.03,0.0,0.0,0.0,1789026998,203,10,2026-09-10T07:56:38+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:38+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:24,ISNLTD,965.0,B-EQ,45.6,44.1,0.0,46.3,43.7,0.0,45.6,635.0,160201.0,7.152,635.0,160201.0,7.15,0.0,0.0,0.0,1789027044,117,11,2026-09-10T07:57:24+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:24+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:47,ITC,966.0,A-EQ,46.0,45.4,0.0,46.2,45.3,0.0,45.7,408.0,317963.0,14.536,408.0,317963.0,14.54,0.0,0.0,0.0,1789027067,364,11,2026-09-10T07:57:47+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:47+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:37,JAMUNABANK,967.0,A-EQ,23.4,23.2,0.0,23.4,22.9,0.0,23.2,647.0,2352774.0,54.257,647.0,2352774.0,54.26,0.0,0.0,0.0,1789026997,25,1,2026-09-10T07:56:37+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:37+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:55:09,JAMUNAOIL,968.0,A-EQ,176.0,176.0,0.0,176.3,175.6,0.0,175.3,111.0,5851.0,1.03,111.0,5851.0,1.03,0.0,0.0,0.0,1789026909,106,9,2026-09-10T07:55:09+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:55:09+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:56:22,JANATAINS,969.0,A-EQ,32.4,32.7,0.0,33.2,32.4,0.0,32.6,195.0,190338.0,6.203,195.0,190338.0,6.2,0.0,0.0,0.0,1789026982,204,10,2026-09-10T07:56:22+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:56:22+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:57:45,JHRML,1231.0,B-EQ,45.3,44.2,0.0,45.6,43.7,0.0,45.2,297.0,94020.0,4.175,297.0,94020.0,4.18,0.0,0.0,0.0,1789027065,10517,16,2026-09-10T07:57:45+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:57:45+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:55:37,JMISMDL,970.0,A-EQ,130.0,131.9,0.0,138.4,129.4,0.0,130.7,65.0,3634.0,0.478,65.0,3634.0,0.48,0.0,0.0,0.0,1789026937,325,16,2026-09-10T07:55:37+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:55:37+00:00
lankabd_watch,2026-09-10 07:58:10.790271+00:00,2,615fcdbc546d4cda8f1815a78b44ca3a,d59a12a7d2b639343992058676bdf5592aac35977b52ba0347f9a72e729f6e1a,200,613,2026-09-10 13:39:01,JUTESPINN,971.0,Z-EQ,212.1,209.0,0.0,212.1,206.0,0.0,208.3,22.0,706.0,0.148,22.0,706.0,0.15,0.0,0.0,0.0,1789025941,118,12,2026-09-10T07:39:01+00:00,2026-09-10 13:57:53,2026-09-10T07:57:53+00:00,2026-09-10 07:39:01+00:00
