split,signal,h,n_frames,n_signal,n_signal_valid,episodes,share_of_frames,p_up,p_down,mean_fwd_ticks,base_p_up,base_mean_ticks,ctrl_p_up,ctrl_mean_ticks,n_matched,lift_vs_matched,lift_vs_base,ticks_vs_base
val,b_imb_weighted,8,1274,730,705,72,0.5729984301412873,0.275177304964539,0.38156028368794326,-0.1971631205673777,0.25170068027210885,-0.38945578231292577,0.25,-1.0480769230769265,364,0.025177304964539016,0.02347662469243017,0.19229266174554807
val,b_largest_wall_bid,8,1274,839,803,55,0.6585557299843015,0.25155666251556663,0.40846824408468246,-0.4047322540473229,0.25170068027210885,-0.38945578231292577,0.19533527696793002,-0.9620991253644388,343,0.056221385547636615,-0.00014401775654221405,-0.015276471734397112
val,b_one_frame_pressure,8,1274,123,118,117,0.09654631083202511,0.2542372881355932,0.4661016949152542,-0.33898305084745645,0.25170068027210885,-0.38945578231292577,0.23931623931623933,-0.5811965811965804,117,0.014921048819353883,0.0025366078634843636,0.05047273146546932
val,score_ge_3,8,1274,717,683,99,0.5627943485086342,0.22840409956076135,0.36749633967789164,-0.2408491947291347,0.25170068027210885,-0.38945578231292577,0.1584,-0.7176000000000112,625,0.07000409956076134,-0.023296580711347492,0.14860658758379106
val,score_ge_4,8,1274,325,311,78,0.25510204081632654,0.26688102893890675,0.29260450160771706,-0.04340836012861136,0.25170068027210885,-0.38945578231292577,0.15112540192926044,-0.7491961414791045,311,0.11575562700964631,0.015180348666797905,0.3460474221843144
val,score_ge_5,8,1274,62,61,28,0.04866562009419152,0.2786885245901639,0.36065573770491804,-0.21311475409836136,0.25170068027210885,-0.38945578231292577,0.32786885245901637,-0.3524590163934354,61,-0.04918032786885246,0.026987844318055065,0.1763410282145644
val,score_ge_6,8,1274,13,13,6,0.01020408163265306,0.3076923076923077,0.15384615384615385,-5.465713352000771e-15,0.25170068027210885,-0.38945578231292577,0.3076923076923077,-0.692307692307754,13,0.0,0.055991627420198864,0.38945578231292033
val,score_ge_7,8,1274,2,2,1,0.0015698587127158557,0.0,0.0,0.0,0.25170068027210885,-0.38945578231292577,0.0,0.0,2,0.0,-0.25170068027210885,0.38945578231292577
holdout,composite,2,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.15513626834381553,-0.028301886792453865,0.0,0.0,1,0.0,-0.15513626834381553,0.028301886792453865
holdout,mirror_composite,2,1287,1,1,1,0.000777000777000777,0.0,0.0,0.0,0.15513626834381553,-0.028301886792453865,0.0,0.0,1,0.0,-0.15513626834381553,0.028301886792453865
holdout,b_imb_l1,2,1287,551,493,87,0.4281274281274281,0.2150101419878296,0.1643002028397566,0.10750507099391259,0.15513626834381553,-0.028301886792453865,0.08874458874458875,-0.248917748917752,462,0.12626555324324085,0.059873873644014086,0.13580695778636645
