symbol,year,rows,days
BPPL,2024,1320,19
BRACBANK,2015,2197,42
BRACBANK,2016,14989,284
BRACBANK,2017,22034,247
BRACBANK,2018,23196,239
BRACBANK,2019,26518,236
BRACBANK,2020,29020,198
BRACBANK,2021,34888,239
BRACBANK,2022,22355,243
BRACBANK,2023,2844,242
BRACBANK,2024,2227,22
BSC,2015,3067,42
BSC,2016,24174,284
BSC,2017,26043,246
BSC,2018,20290,239
BSC,2019,31665,236
BSC,2020,24450,195
BSC,2021,33605,240
BSC,2022,54808,242
BSC,2023,44968,243
BSC,2024,3670,22
BSCCL,2015,3565,42
BSCCL,2016,23743,284
BSCCL,2017,18384,247
BSCCL,2018,13232,240
BSCCL,2019,34693,236
BSCCL,2020,32237,198
BSCCL,2021,35656,239
BSCCL,2022,23521,243
BSCCL,2023,1351,231
BSCCL,2024,1168,21
BSRMLTD,2015,3352,43
BSRMLTD,2016,24276,282
BSRMLTD,2017,13320,246
BSRMLTD,2018,19704,240
BSRMLTD,2019,12813,235
BSRMLTD,2020,11006,193
BSRMLTD,2021,26942,238
BSRMLTD,2022,16538,242
BSRMLTD,2023,713,202
BSRMLTD,2024,180,19
BSRMSTEEL,2015,3754,42
BSRMSTEEL,2016,19189,282
BSRMSTEEL,2017,13929,246
BSRMSTEEL,2018,8529,240
BSRMSTEEL,2019,6165,236
BSRMSTEEL,2020,9250,196
BSRMSTEEL,2021,22036,238
BSRMSTEEL,2022,14041,240
BSRMSTEEL,2023,2628,222
BSRMSTEEL,2024,599,19
BXPHARMA,2015,3949,42
BXPHARMA,2016,21432,283
BXPHARMA,2017,22787,247
BXPHARMA,2018,17170,240
BXPHARMA,2019,14784,236
BXPHARMA,2020,33823,198
BXPHARMA,2021,49575,239
BXPHARMA,2022,38073,243
BXPHARMA,2023,5426,237
BXPHARMA,2024,1686,22
CAPITECGBF,2023,7484,51
CAPITECGBF,2024,2947,22
CAPMBDBLMF,2017,3956,237
CAPMBDBLMF,2018,2756,232
CAPMBDBLMF,2019,5174,214
CAPMBDBLMF,2020,8104,182
CAPMBDBLMF,2021,17498,239
CAPMBDBLMF,2022,5371,207
CAPMBDBLMF,2023,4024,170
CAPMBDBLMF,2024,774,22
CAPMIBBLMF,2018,7385,196
CAPMIBBLMF,2019,10478,236
CAPMIBBLMF,2020,12544,182
CAPMIBBLMF,2021,21682,239
CAPMIBBLMF,2022,8144,202
CAPMIBBLMF,2023,13759,243
CAPMIBBLMF,2024,1971,22
CENTRALINS,2015,268,39
CENTRALINS,2016,2362,275
CENTRALINS,2017,2543,246
CENTRALINS,2018,969,216
CENTRALINS,2019,10037,236
CENTRALINS,2020,14666,198
CENTRALINS,2021,25272,239
CENTRALINS,2022,9086,243
CENTRALINS,2023,8878,243
CENTRALINS,2024,1334,22
CENTRALPHL,2015,2692,42
CENTRALPHL,2016,18541,284
CENTRALPHL,2017,23797,247
CENTRALPHL,2018,17653,240
CENTRALPHL,2019,18787,236
CENTRALPHL,2020,20996,198
CENTRALPHL,2021,29041,238
CENTRALPHL,2022,22064,242
CENTRALPHL,2023,29999,243
CENTRALPHL,2024,5225,22
CITYBANK,2015,2831,42
CITYBANK,2016,18241,280
CITYBANK,2017,26049,247
CITYBANK,2018,22085,240
CITYBANK,2019,24917,236
CITYBANK,2020,23548,197
CITYBANK,2021,39224,239
CITYBANK,2022,20568,243
CITYBANK,2023,3284,242
CITYBANK,2024,1206,22
CITYGENINS,2015,706,42
CITYGENINS,2016,9771,284
CITYGENINS,2017,10730,247
CITYGENINS,2018,4870,240
CITYGENINS,2019,21067,236
CITYGENINS,2020,21771,194
CITYGENINS,2021,32634,239
CITYGENINS,2022,16491,243
CITYGENINS,2023,18472,243
CITYGENINS,2024,929,22
CLICL,2022,7361,44
CLICL,2023,31821,243
CLICL,2024,2065,22
CNATEX,2015,3302,42
CNATEX,2016,19403,283
CNATEX,2017,23915,248
CNATEX,2018,10307,241
CNATEX,2019,9051,237
CNATEX,2020,9372,198
CNATEX,2021,24389,240
CNATEX,2022,12858,232
CNATEX,2023,8889,175
CNATEX,2024,1668,22
CONFIDCEM,2015,1611,42
CONFIDCEM,2016,13566,283
CONFIDCEM,2017,18454,246
CONFIDCEM,2018,16110,240
CONFIDCEM,2019,16676,236
CONFIDCEM,2020,22406,199
CONFIDCEM,2021,37511,238
CONFIDCEM,2022,17771,242
CONFIDCEM,2023,2428,214
CONFIDCEM,2024,909,17
CONTININS,2015,449,41
CONTININS,2016,5550,283
CONTININS,2017,5927,247
CONTININS,2018,3902,236
CONTININS,2019,17564,236
CONTININS,2020,21124,183
CONTININS,2021,33839,239
CONTININS,2022,13472,240
CONTININS,2023,26191,243
CONTININS,2024,3931,22
COPPERTECH,2019,12158,95
COPPERTECH,2020,16832,185
COPPERTECH,2021,20273,238
COPPERTECH,2022,32867,241
COPPERTECH,2023,964,171
COPPERTECH,2024,1514,17
CROWNCEMNT,2022,3524,166
CROWNCEMNT,2023,3572,136
CROWNCEMNT,2024,667,22
CRYSTALINS,2020,64,8
CRYSTALINS,2021,31442,239
CRYSTALINS,2022,13495,243
CRYSTALINS,2023,26969,243
CRYSTALINS,2024,2892,22
CVOPRL,2015,3511,42
CVOPRL,2016,23171,284
CVOPRL,2017,17871,247
CVOPRL,2018,20771,240
CVOPRL,2019,23368,236
CVOPRL,2020,12175,190
CVOPRL,2021,25038,217
CVOPRL,2022,33526,237
CVOPRL,2023,29164,221
CVOPRL,2024,3067,22
DACCADYE,2015,1894,42
