row,symbol,ts,code,detail
142196,BERGERPBL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
144204,BESTHLDNG,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
144210,BESTHLDNG,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
145276,BEXIMCO,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
145320,BEXIMCO,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
147972,BGIC,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
148016,BGIC,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
150671,BIFC,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
150715,BIFC,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
152348,BNICL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
152392,BNICL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
155752,BPML,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
155758,BPML,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
156762,BPPL,2025-05-17,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
156768,BPPL,2025-05-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
157832,BRACBANK,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
157876,BRACBANK,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
160537,BSC,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
160581,BSC,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
163242,BSCCL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
163285,BSCCL,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
165325,BSRMLTD,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
165369,BSRMLTD,2016-09-24,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
167978,BSRMSTEEL,2016-07-16,NON_TRADING_WEEKDAY,timestamp on an assumed non-trading weekday (unverified)
