symbol,lankabd_best_bid,dsebd_best_bid,lankabd_best_ask,dsebd_best_ask,bid_agree,ask_agree,levels_lankabd,levels_dsebd
NTC,154.0,154.0,,,True,,1,1
NURANI,,,3.1,3.1,,True,1,1
ORIONPHARM,24.9,24.9,,,True,,2,2
PARAMOUNT,,,58.7,58.7,,True,2,2
PEOPLESINS,60.4,60.4,60.9,60.9,True,True,2,2
PF1STMF,,,15.3,15.3,,True,2,2
PHOENIXFIN,,,3.8,3.8,,True,1,1
PLFSL,1.8,1.8,,,True,,1,1
POPULARLIF,59.2,59.2,64.9,64.9,True,True,1,1
PRAGATIINS,74.0,74.0,,,True,,1,1
PRAGATILIF,,,152.3,152.3,,True,1,1
PREMIERBAN,5.8,5.8,,,True,,1,1
PREMIERCEM,43.9,43.9,44.4,44.4,True,True,1,1
PRIMETEX,15.3,15.3,15.6,15.6,True,True,1,1
PROVATIINS,,,56.0,56.0,,True,1,1
PTL,75.1,75.1,,,True,,2,2
QUEENSOUTH,,,14.5,14.5,,True,1,1
RAHIMAFOOD,70.6,70.6,,,True,,2,2
RAHIMTEXT,188.5,188.5,,,True,,1,1
RAKCERAMIC,,,29.4,29.4,,True,1,1
RANFOUNDRY,149.9,149.9,,,True,,1,1
RDFOOD,,,24.1,24.1,,True,1,1
RELIANCE1,12.1,12.1,12.3,12.3,True,True,2,2
RELIANCINS,,,104.5,104.5,,True,1,1
RENATA,463.5,463.5,,,True,,1,1
REPUBLIC,39.1,39.1,39.9,39.9,True,True,3,3
ROBI,,,29.9,29.9,,True,1,1
RUNNERAUTO,,,45.5,45.5,,True,2,2
RUPALIINS,,,28.6,28.6,,True,1,1
RUPALILIFE,,,81.2,81.2,,True,2,2
SAIFPOWER,,,9.1,9.1,,True,2,2
SALAMCRST,11.7,11.7,,,True,,1,1
SALVO,,,33.5,33.5,,True,3,3
SAMORITA,,,93.4,93.4,,True,1,1
SAPORTL,57.5,57.5,,,True,,2,2
SEMLFBSLGF,6.8,6.8,,,True,,1,1
SHARPIND,,,19.8,19.8,,True,1,1
SHASHADNIM,,,28.0,28.0,,True,1,1
SHEPHERD,,,14.0,14.0,,True,3,3
SICL,,,37.4,37.4,,True,1,1
SILVAPHL,12.4,12.4,,,True,,1,1
SIMTEX,24.1,24.1,,,True,,2,2
SINOBANGLA,51.5,51.5,51.8,51.8,True,True,1,1
SIPLC,133.8,133.8,139.7,139.7,True,True,1,1
SKTRIMS,13.4,13.4,13.7,13.7,True,True,1,1
SONALIPAPR,221.5,221.5,222.5,222.5,True,True,5,5
SONARGAON,,,91.9,91.9,,True,1,1
SOUTHEASTB,,,11.9,11.9,,True,2,2
SPCERAMICS,19.8,19.8,,,True,,2,2
SQURPHARMA,215.9,215.9,,,True,,2,2
SUMITPOWER,,,15.4,15.4,,True,1,1
SUNLIFEINS,47.2,47.2,,,True,,1,1
TAKAFULINS,53.2,53.2,53.8,53.8,True,True,1,1
TECHNODRUG,42.7,42.7,42.9,42.9,True,True,3,3
TOSRIFA,19.2,19.2,,,True,,1,1
TRUSTBANK,,,14.9,14.9,,True,1,1
TUNGHAI,,,4.3,4.3,,True,1,1
UNIONINS,,,49.2,49.2,,True,1,1
UNIQUEHRL,42.1,42.1,,,True,,1,1
UNITEDFIN,,,17.0,17.0,,True,1,1
UTTARABANK,20.7,20.7,,,True,,1,1
UTTARAFIN,12.4,12.4,,,True,,1,1
VFSTDL,13.6,13.6,,,True,,1,1
WALTONHIL,,,391.0,391.0,,True,3,3
WATACHEM,132.5,132.5,,,True,,1,1
ZEALBANGLA,,,180.6,180.6,,True,1,1
